Vill_Th,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
บ้านห้วยบะบ้า,"68","35",2,211,209,1773,26.0735294117647,12,34.6912076403122,2,7,7,33,26
บ้านขุนแม่รวม,"122","59",1,3390,3389,10248,84,17.5,328.992849590941,8,10,10,45,35
บ้านห้วยเขียดแห้ง,"109","53",3,3390,3387,9335,85.6422018348624,16,342.478835425516,3,4,8,35,27
บ้านแม่ละอูบ,"106","59",2,820,818,5772,54.4528301886792,20.5,102.046801330573,2,4,11,50,39
บ้านกิ่วโป่ง,"55","36",2,166,164,1738,31.6,17,36.0401795979785,2,7,7.5,41.5,34
บ้านแม่ผาปู,"13","11",8,118,110,426,32.7692307692308,18,30.7224644598249,12,8,14,42,28
บ้านปกกะโหล่ง,"39","29",3,298,295,1408,36.1025641025641,20,55.7833698551794,3,11,11,28.5,17.5
บ้านนะโน,"29","13",2,214,212,419,14.448275862069,5,38.3105155339317,7,3,3,10,7
บ้านแม่ตะละเหนือ,"60","35",1,878,877,2693,44.8833333333333,13.5,120.191665222215,4,5,7,30,23
บ้านแม่ตะละกลาง,"64","36",2,316,314,1775,27.734375,12,43.1140356306316,2,5,6,34,28
บ้านแม่ตะละใต้,"41","30",5,228,223,1384,33.7560975609756,19,39.379814370981,5,10,11,46,35
บ้านแม่แดดน้อย,"67","36",2,501,499,2116,31.5820895522388,13,71.7658192564136,5,4,7,25,18
บ้านสบแม่แดด,"29","21",3,52,49,581,20.0344827586207,16,14.8637090062379,3,4,8,30,22
บ้านห้วยปู,"126","58",0,682,682,6036,47.9047619047619,12.5,98.8052781646673,0,1,3,42,39
บ้านดงสามหมื่น,"34","24",1,203,202,850,25,18,34.5968376657548,1,5,6,31,25
บ้านแม่ตะละ,"145","43",1,878,877,3453,23.8137931034483,6,78.3591190218996,14,4,4,18,14
บ้านแม่ตะละใหม่,"6","6",3,32,29,76,12.6666666666667,11,9.4457515435365,3,3,5,14,9
บ้านป่าแดงอภิวัฒน์,"4","4",33,175,142,352,88,72,54.744862772684,33,33,42,134,92
บ้านโปงพัฒนา,"19","17",3,1005,1002,2427,127.736842105263,28,238.080888975346,3,5,11.5,85.5,74
บ้านสันห้าง,"1","1",1005,1005,0,1005,1005,1005,0,1005,1005,1005,1005,0
บ้านโป่งไฮ,"46","38",3,1074,1071,5632,122.434782608696,33,216.420951747717,3,4,11,103,92
บ้านแม่ป๊อก,"16","15",9,226,217,932,58.25,27.5,61.36112368593,10,9,14,79.5,65.5
บ้านกองลา,"1","1",16,16,0,16,16,16,0,16,16,16,16,0
บ้านอมสูง,"30","19",3,75,72,425,14.1666666666667,10.5,13.4686879671168,6,3,7,16,9
บ้านมืดหลอง,"9","8",6,144,138,510,56.6666666666667,32,48.8626192048232,17,6,17,85,68
